what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564334102
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564346980
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564348923
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564383319
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564385529
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564386480
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564386967
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564392249
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1445564393571
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564394175
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564394701
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564400202
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1445564403748
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564403774
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564407070
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1445564409069
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564409113
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564412301
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564415506
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564427492
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564427500
activated,view,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui.ServersView",1445564431520
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445564432945
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564435875
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1445564438061
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564438087
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564444166
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564485567
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445564487362
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564487401
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1445564489483
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564489519
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564492120
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564492399
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445564493551
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445564493552
closed,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1445564493573
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445564493591
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1445564493622
closed,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1445564493650
closed,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1445564493662
closed,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1445564493684
closed,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1445564493702
opened,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1445564495137
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1445564495225
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445564495258
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1445564495961
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564507577
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564508680
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564509383
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564514542
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564520156
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564530791
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564531488
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564532323
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445564535532
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564545171
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1445564547653
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1445564547800
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.rename",1445564547800
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564547868
opened,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1445564549185
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1445564549264
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445564549291
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1445564550272
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1445564554437
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1445564557628
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564563241
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564570996
error,log,,,"Invalid ZIP archive: MessageResource.properties [in StrutsHelloWorld]",1445564575163
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564575209
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1445564575212
